"agar","tp","strain","pop.x","treatE.x","cycle.x","Length.x","rep.x","pop.y","treatE.y","cycle.y","Length.y","rep.y","relTrans"
3.4,24,"MYb11","13","mono",10,0.408149300155521,"3","17","anc",0,0.402998444790047,"1",1.01278132814671
3.4,24,"MYb11","13","mono",10,0.408149300155521,"3","17","anc",0,0.405909797822706,"1",1.00551724137931
3.4,24,"MYb11","13","mono",10,0.408149300155521,"3","17","anc",0,0.380239502332815,"1",1.07340057424722
3.4,24,"MYb11","7","bi",10,0.372765163297045,"6","17","anc",0,0.402998444790047,"1",0.924979160878022
3.4,24,"MYb11","7","bi",10,0.372765163297045,"6","17","anc",0,0.405909797822706,"1",0.918344827586207
3.4,24,"MYb11","7","bi",10,0.372765163297045,"6","17","anc",0,0.380239502332815,"1",0.980343075903703
3.4,24,"MYb11","13","mono",10,0.436903576982893,"1","17","anc",0,0.402998444790047,"1",1.0841321663425
3.4,24,"MYb11","13","mono",10,0.436903576982893,"1","17","anc",0,0.405909797822706,"1",1.07635632183908
3.4,24,"MYb11","13","mono",10,0.436903576982893,"1","17","anc",0,0.380239502332815,"1",1.14902206189109
3.4,72,"MYb11","5","mono",4,0.667147744945568,"2","17","anc",0,0.528508553654743,"1",1.26232156571943
3.4,72,"MYb11","5","mono",4,0.667147744945568,"2","17","anc",0,0.548888024883359,"1",1.21545327043223
3.4,72,"MYb11","5","mono",4,0.667147744945568,"2","17","anc",0,0.556908242612753,"1",1.19794913039107
3.4,72,"MYb11","4","bi",4,0.560188180404355,"5","17","anc",0,0.528508553654743,"1",1.05994155918677
3.4,72,"MYb11","4","bi",4,0.560188180404355,"5","17","anc",0,0.548888024883359,"1",1.0205873602788
3.4,72,"MYb11","4","bi",4,0.560188180404355,"5","17","anc",0,0.556908242612753,"1",1.0058895479374
3.4,72,"MYb11","4","bi",4,0.502133748055988,"2","17","anc",0,0.528508553654743,"1",0.950095782903855
3.4,72,"MYb11","4","bi",4,0.502133748055988,"2","17","anc",0,0.548888024883359,"1",0.914820009350163
3.4,72,"MYb11","4","bi",4,0.502133748055988,"2","17","anc",0,0.556908242612753,"1",0.901645387218927
3.4,72,"MYb11","5","mono",4,0.653164852255054,"6","17","anc",0,0.528508553654743,"1",1.23586429725363
3.4,72,"MYb11","5","mono",4,0.653164852255054,"6","17","anc",0,0.548888024883359,"1",1.18997832462068
3.4,72,"MYb11","5","mono",4,0.653164852255054,"6","17","anc",0,0.556908242612753,"1",1.17284105760531
3.4,72,"MYb11","5","mono",4,0.539108864696734,"3","17","anc",0,0.528508553654743,"1",1.02005702834644
3.4,72,"MYb11","5","mono",4,0.539108864696734,"3","17","anc",0,0.548888024883359,"1",0.982183688214544
3.4,72,"MYb11","5","mono",4,0.539108864696734,"3","17","anc",0,0.556908242612753,"1",0.968038939713817
3.4,72,"MYb11","4","bi",4,0.519289269051322,"6","17","anc",0,0.528508553654743,"1",0.982556035205735
3.4,72,"MYb11","4","bi",4,0.519289269051322,"6","17","anc",0,0.548888024883359,"1",0.946075056313485
3.4,72,"MYb11","4","bi",4,0.519289269051322,"6","17","anc",0,0.556908242612753,"1",0.93245032002949
3.4,72,"MYb11","4","bi",4,0.572281493001555,"3","17","anc",0,0.528508553654743,"1",1.08282352110314
3.4,72,"MYb11","4","bi",4,0.572281493001555,"3","17","anc",0,0.548888024883359,"1",1.04261974584555
3.4,72,"MYb11","4","bi",4,0.572281493001555,"3","17","anc",0,0.556908242612753,"1",1.02760463791428
3.4,72,"MYb11","7","bi",10,0.735783825816485,"1","17","anc",0,0.528508553654743,"1",1.39218905867917
3.4,72,"MYb11","7","bi",10,0.735783825816485,"1","17","anc",0,0.548888024883359,"1",1.34049895873178
3.4,72,"MYb11","7","bi",10,0.735783825816485,"1","17","anc",0,0.556908242612753,"1",1.32119399483932
3.4,72,"MYb11","5","mono",4,0.657620528771384,"4","17","anc",0,0.528508553654743,"1",1.24429495837637
3.4,72,"MYb11","5","mono",4,0.657620528771384,"4","17","anc",0,0.548888024883359,"1",1.19809596667942
